Freq.	Vn001)/IL1)
1.00000000000000e+00	-2.11104441158824e+01 8.99989870123808e-03
1.00230293249304e+00	-2.11104441153883e+01 9.02062486004911e-03
1.00461116848415e+00	-2.11104441148919e+01 9.04139874980235e-03
1.00692472018692e+00	-2.11104441143932e+01 9.06222048041893e-03
1.00924359984308e+00	-2.11104441138922e+01 9.08309016207310e-03
1.01156781972255e+00	-2.11104441133889e+01 9.10400790519285e-03
1.01389739212350e+00	-2.11104441128833e+01 9.12497382046048e-03
1.01623232937243e+00	-2.11104441123753e+01 9.14598801881317e-03
1.01857264382422e+00	-2.11104441118650e+01 9.16705061144360e-03
1.02091834786220e+00	-2.11104441113524e+01 9.18816170980049e-03
1.02326945389823e+00	-2.11104441108374e+01 9.20932142558925e-03
1.02562597437275e+00	-2.11104441103200e+01 9.23052987077252e-03
1.02798792175484e+00	-2.11104441098002e+01 9.25178715757080e-03
1.03035530854230e+00	-2.11104441092781e+01 9.27309339846300e-03
1.03272814726172e+00	-2.11104441087535e+01 9.29444870618708e-03
1.03510645046852e+00	-2.11104441082265e+01 9.31585319374063e-03
1.03749023074706e+00	-2.11104441076971e+01 9.33730697438145e-03
1.03987950071066e+00	-2.11104441071652e+01 9.35881016162818e-03
1.04227427300169e+00	-2.11104441066309e+01 9.38036286926088e-03
1.04467456029164e+00	-2.11104441060941e+01 9.40196521132164e-03
1.04708037528119e+00	-2.11104441055548e+01 9.42361730211517e-03
1.04949173070025e+00	-2.11104441050131e+01 9.44531925620943e-03
1.05190863930806e+00	-2.11104441044688e+01 9.46707118843622e-03
1.05433111389323e+00	-2.11104441039221e+01 9.48887321389178e-03
1.05675916727383e+00	-2.11104441033728e+01 9.51072544793742e-03
1.05919281229747e+00	-2.11104441028210e+01 9.53262800620010e-03
1.06163206184130e+00	-2.11104441022667e+01 9.55458100457310e-03
1.06407692881216e+00	-2.11104441017097e+01 9.57658455921656e-03
1.06652742614662e+00	-2.11104441011503e+01 9.59863878655813e-03
1.06898356681101e+00	-2.11104441005882e+01 9.62074380329360e-03
1.07144536380154e+00	-2.11104441000236e+01 9.64289972638750e-03
1.07391283014436e+00	-2.11104440994563e+01 9.66510667307371e-03
1.07638597889559e+00	-2.11104440988865e+01 9.68736476085610e-03
1.07886482314144e+00	-2.11104440983140e+01 9.70967410750915e-03
1.08134937599825e+00	-2.11104440977388e+01 9.73203483107854e-03
1.08383965061256e+00	-2.11104440971610e+01 9.75444704988184e-03
1.08633566016120e+00	-2.11104440965806e+01 9.77691088250906e-03
1.08883741785133e+00	-2.11104440959975e+01 9.79942644782334e-03
1.09134493692054e+00	-2.11104440954116e+01 9.82199386496155e-03
1.09385823063689e+00	-2.11104440948231e+01 9.84461325333491e-03
1.09637731229900e+00	-2.11104440942319e+01 9.86728473262965e-03
1.09890219523613e+00	-2.11104440936379e+01 9.89000842280762e-03
1.10143289280821e+00	-2.11104440930412e+01 9.91278444410694e-03
1.10396941840596e+00	-2.11104440924418e+01 9.93561291704263e-03
1.10651178545092e+00	-2.11104440918396e+01 9.95849396240725e-03
1.10906000739557e+00	-2.11104440912346e+01 9.98142770127152e-03
1.11161409772333e+00	-2.11104440906268e+01 1.00044142549850e-02
1.11417406994870e+00	-2.11104440900162e+01 1.00274537451767e-02
1.11673993761729e+00	-2.11104440894028e+01 1.00505462937557e-02
1.11931171430590e+00	-2.11104440887866e+01 1.00736920229120e-02
1.12188941362261e+00	-2.11104440881675e+01 1.00968910551166e-02
1.12447304920684e+00	-2.11104440875456e+01 1.01201435131230e-02
1.12706263472941e+00	-2.11104440869208e+01 1.01434495199672e-02
1.12965818389261e+00	-2.11104440862932e+01 1.01668091989684e-02
1.13225971043033e+00	-2.11104440856626e+01 1.01902226737301e-02
1.13486722810804e+00	-2.11104440850291e+01 1.02136900681401e-02
1.13748075072293e+00	-2.11104440843927e+01 1.02372115063718e-02
1.14010029210398e+00	-2.11104440837534e+01 1.02607871128845e-02
1.14272586611199e+00	-2.11104440831111e+01 1.02844170124239e-02
1.14535748663969e+00	-2.11104440824659e+01 1.03081013300233e-02
1.14799516761182e+00	-2.11104440818177e+01 1.03318401910037e-02
1.15063892298517e+00	-2.11104440811665e+01 1.03556337209748e-02
1.15328876674867e+00	-2.11104440805123e+01 1.03794820458357e-02
1.15594471292347e+00	-2.11104440798551e+01 1.04033852917752e-02
1.15860677556302e+00	-2.11104440791948e+01 1.04273435852728e-02
1.16127496875311e+00	-2.11104440785315e+01 1.04513570530993e-02
1.16394930661201e+00	-2.11104440778652e+01 1.04754258223175e-02
1.16662980329046e+00	-2.11104440771957e+01 1.04995500202826e-02
1.16931647297180e+00	-2.11104440765232e+01 1.05237297746434e-02
1.17200932987205e+00	-2.11104440758476e+01 1.05479652133424e-02
1.17470838823996e+00	-2.11104440751689e+01 1.05722564646169e-02
1.17741366235709e+00	-2.11104440744870e+01 1.05966036569994e-02
1.18012516653788e+00	-2.11104440738020e+01 1.06210069193186e-02
1.18284291512975e+00	-2.11104440731139e+01 1.06454663806996e-02
1.18556692251316e+00	-2.11104440724225e+01 1.06699821705651e-02
1.18829720310169e+00	-2.11104440717280e+01 1.06945544186357e-02
1.19103377134210e+00	-2.11104440710303e+01 1.07191832549309e-02
1.19377664171443e+00	-2.11104440703293e+01 1.07438688097695e-02
1.19652582873207e+00	-2.11104440696251e+01 1.07686112137705e-02
1.19928134694181e+00	-2.11104440689177e+01 1.07934105978535e-02
