x y u v meta
4.000000 3.333333 0.000000 1.333333 1.333333
4.000000 2.405146 0.000000 0.405146 0.405146
4.410426 3.059716 0.410426 1.059716 1.136419
3.589574 3.059716 -0.410426 1.059716 1.136419
4.000000 4.666667 -0.000000 1.333333 1.333333
3.303860 4.202573 0.696140 1.797427 1.927526
4.696140 4.202573 -0.696140 1.797427 1.927526
4.000000 5.594854 -0.000000 0.405146 0.405146
4.410426 4.940284 -0.410426 1.059716 1.136419
3.589574 4.940284 0.410426 1.059716 1.136419
4.000000 4.119432 -0.000000 1.880568 1.880568
3.303860 3.797427 -0.696140 1.797427 1.927526
4.696140 3.797427 0.696140 1.797427 1.927526
4.000000 3.880568 0.000000 1.880568 1.880568
